Dates,Pollster,Sample,Influence,Approve,Disapprove,Net,Sample Size,Sample Type,End Date,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat,Bias,Adj_Approve,Adj_Disapprove,Adj_Net,Sample Priority,Grade Priority,Simple Grade,Recency,Recency Weight,Sample N Weight Raw,Sample N Weight,Combined Weight,Color
"7/18 - 7/21, 2025@@23943",Beacon Research/Shaw  Co Research,"1,000 RV@@1000",0.0,46.0,54.0,-8.0,1000.0,RV,2025-07-21,A@@2,-0.635562,D+1.46@@1.4624962,62.0,D+,1.46,45.27,54.73,-9.459999999999994,2.0,1.0,A,39,0.025,31.622776601683793,0.5390493969768073,0.7034594630547335,red
"7/16 - 7/20, 2025@@23942",Fabrizio Lee  Associates/Impact Research,"1,500 RV@@1500",0.0,46.0,52.0,-6.0,1500.0,RV,2025-07-20,B/C@@8,0.58829069,D+0.03@@0.031175993,1.0,D+,0.03,45.985,52.015,-6.030000000000001,2.0,1.0,B/C,40,0.024390243902439025,38.72983346207417,0.5819882848043362,0.759423737488585,red
"7/17 - 7/20, 2025@@23942",American Research Group,"1,100 A@@1100",0.0,38.0,59.0,-21.0,1100.0,A,2025-07-20,C+@@9,0.8181411,D+0.07@@0.069949053,280.0,D+,0.07,37.965,59.035,-21.069999999999993,1.0,1.0,C+,40,0.024390243902439025,33.166247903554,0.5483746271526603,0.44137469990336076,red
"7/18 - 7/20, 2025@@23942",Morning Consult,"2,202 RV@@2202",0.0,45.0,52.0,-7.0,2202.0,RV,2025-07-20,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,43.315,53.685,-10.370000000000005,2.0,1.0,B-,40,0.024390243902439025,46.92547282660026,0.6315040894842688,0.8240358240831314,red
"7/16 - 7/18, 2025@@23940",YouGov,"2,343 A@@2343",0.0,42.0,58.0,-16.0,2343.0,A,2025-07-18,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,41.455,58.545,-17.090000000000003,1.0,1.0,B,42,0.023255813953488372,48.40454524112379,0.6404402392497189,0.515330983210239,red
"7/14 - 7/18, 2025@@23940",Rasmussen Reports,"1,500 LV@@1500",0.0,50.0,48.0,2.0,1500.0,LV,2025-07-18,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,47.325,3.3499999999999943,3.0,1.0,B,42,0.023255813953488372,38.72983346207417,0.5819882848043362,1.050285834902709,green
"7/13 - 7/18, 2025@@23940",AtlasIntel,"1,935 A@@1935",0.0,44.3,54.9,-10.6,1935.0,A,2025-07-18,A+@@1,-0.95774031,D+0.16@@0.16334188,91.0,D+,0.16,44.22,54.98,-10.759999999999998,1.0,1.0,A+,42,0.023255813953488372,43.98863489584554,0.6137605203875975,0.4938631164049041,red
"7/11 - 7/17, 2025@@23939",Rasmussen Reports,"1,500 LV@@1500",0.0,50.0,48.0,2.0,1500.0,LV,2025-07-17,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,47.325,3.3499999999999943,3.0,1.0,B,43,0.022727272727272728,38.72983346207417,0.5819882848043362,1.0502243139423704,green
"7/14 - 7/16, 2025@@23938",Verasight,"1,500 A@@1500",0.0,42.0,57.0,-15.0,1500.0,A,2025-07-16,,,,,,0.0,42.0,57.0,-15.0,1.0,1.0,,44,0.022222222222222223,38.72983346207417,0.5819882848043362,0.46817724244259934,red
"7/10 - 7/16, 2025@@23938",Rasmussen Reports,"1,500 LV@@1500",0.0,49.0,49.0,0.0,1500.0,LV,2025-07-16,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,48.325,1.3499999999999943,3.0,1.0,B,44,0.022222222222222223,38.72983346207417,0.5819882848043362,1.0501655272469355,green
"7/7 - 7/16, 2025@@23938",Marquette University Law School,"1,005 A@@1005",0.0,45.0,55.0,-10.0,1005.0,A,2025-07-16,A/B@@4,-0.92026073,D+0.32@@0.31545374,17.0,D+,0.32,44.84,55.16,-10.319999999999993,1.0,1.0,A/B,44,0.022222222222222223,31.701734968294716,0.5395264417667325,0.43401904871012703,red
"7/15 - 7/16, 2025@@23938",Ipsos,"1,027 A@@1027",0.0,41.0,54.0,-13.0,1027.0,A,2025-07-16,B-@@7,0.44289753,D+1.89@@1.8925899,116.0,D+,1.89,40.055,54.945,-14.89,1.0,1.0,B-,44,0.022222222222222223,32.046840717924134,0.5416114760309946,0.43569634294048903,red
"7/9 - 7/16, 2025@@23938",RMG Research,"3,000 RV@@3000",0.0,52.0,48.0,4.0,3000.0,RV,2025-07-16,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,50.375,49.625,0.75,2.0,1.0,B,44,0.022222222222222223,54.772255750516614,0.6789121992539866,0.8856032465824226,green
"7/9 - 7/15, 2025@@23937",Rasmussen Reports,"1,500 LV@@1500",0.0,48.0,50.0,-2.0,1500.0,LV,2025-07-15,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,49.325,-0.6500000000000057,3.0,1.0,B,45,0.021739130434782608,38.72983346207417,0.5819882848043362,1.0501092964947805,red
"7/11 - 7/14, 2025@@23936",YouGov,"1,680 A@@1680",0.0,41.0,55.0,-14.0,1680.0,A,2025-07-14,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,40.455,55.545,-15.090000000000003,1.0,1.0,B,46,0.02127659574468085,40.98780306383839,0.5956303176954024,0.47903885125289813,red
"7/10 - 7/14, 2025@@23936",Echelon Insights,"1,084 LV@@1084",0.0,45.0,53.0,-8.0,1084.0,LV,2025-07-14,B+@@5,-0.21667188,R+0.11@@-0.10818018,18.0,R+,-0.11,45.055,52.945,-7.890000000000001,3.0,1.0,B+,46,0.02127659574468085,32.92415526630866,0.5469119698531972,0.9867688307138537,red
"7/10 - 7/14, 2025@@23936",APNORC,"1,473 A@@1473",0.0,40.0,58.0,-18.0,1473.0,A,2025-07-14,,,,,,0.0,40.0,58.0,-18.0,1.0,1.0,,46,0.02127659574468085,38.379682124790975,0.5798727664836573,0.4663657568740903,red
"7/8 - 7/14, 2025@@23936",Rasmussen Reports,"1,500 LV@@1500",0.0,47.0,51.0,-4.0,1500.0,LV,2025-07-14,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,47.675,50.325,-2.6500000000000057,3.0,1.0,B,46,0.02127659574468085,38.72983346207417,0.5819882848043362,1.0500554585405895,red
"7/10 - 7/14, 2025@@23936",Quinnipiac University,"1,290 RV@@1290",0.0,40.0,54.0,-14.0,1290.0,RV,2025-07-14,B+@@5,-0.29048395,D+0.62@@0.61745471,228.0,D+,0.62,39.69,54.31,-14.620000000000005,2.0,1.0,B+,46,0.02127659574468085,35.91656999213594,0.5649913186989705,0.736892932686104,red
"7/11 - 7/13, 2025@@23935",Morning Consult,"2,201 RV@@2201",0.0,47.0,50.0,-3.0,2201.0,RV,2025-07-13,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,45.315,51.685,-6.3700000000000045,2.0,1.0,B-,47,0.020833333333333332,46.9148164229596,0.6314397064169093,0.8235026171187192,red
"7/10 - 7/13, 2025@@23935",SSRS,"1,057 A@@1057",0.0,42.0,58.0,-16.0,1057.0,A,2025-07-13,C@@10,0.96683478,D+2.78@@2.7767856,47.0,D+,2.78,40.61,59.39,-18.78,1.0,1.0,C,47,0.020833333333333332,32.51153641401772,0.5444190399439421,0.43780364462158683,red
"7/9 - 7/13, 2025@@23935",YouGov,"2,104 A@@2104",0.0,39.0,56.0,-17.0,2104.0,A,2025-07-13,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,38.455,56.545,-18.090000000000003,1.0,1.0,B,47,0.020833333333333332,45.86937976471886,0.6251234649289356,0.502703453047019,red
"7/7 - 7/11, 2025@@23933",Rasmussen Reports,"1,500 LV@@1500",0.0,48.0,51.0,-3.0,1500.0,LV,2025-07-11,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,50.325,-1.6500000000000057,3.0,1.0,B,49,0.02,38.72983346207417,0.5819882848043362,1.0499068657870225,red
"7/4 - 7/10, 2025@@23932",Morning Consult,"35,090 A@@35090",0.0,43.99,50.14,-6.149998,35090.0,A,2025-07-10,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,42.305,51.825,-9.520000000000003,1.0,1.0,B-,50,0.0196078431372549,187.32325002519042,1.4797489431259088,1.0525520901316683,red
"7/3 - 7/10, 2025@@23932",Rasmussen Reports,"1,500 LV@@1500",0.0,48.0,50.0,-2.0,1500.0,LV,2025-07-10,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,49.325,-0.6500000000000057,3.0,1.0,B,50,0.0196078431372549,38.72983346207417,0.5819882848043362,1.0498612196470378,red
"7/9 - 7/10, 2025@@23932",JL Partners,"1,013 RV@@1013",0.0,44.0,48.0,-4.0,1013.0,RV,2025-07-10,B/C@@8,0.19791092,D+0.39@@0.39106345,10.0,D+,0.39,43.805,48.195,-4.390000000000001,2.0,1.0,B/C,50,0.0196078431372549,31.827660925679098,0.5402872518552008,0.7044922009484481,red
"6/30 - 7/10, 2025@@23932",RMG Research,"3,000 RV@@3000",0.0,50.0,47.0,3.0,3000.0,RV,2025-07-10,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,48.375,48.625,-0.25,2.0,1.0,B,50,0.0196078431372549,54.772255750516614,0.6789121992539866,0.8852482598115707,green
"7/2 - 7/9, 2025@@23931",Rasmussen Reports,"1,500 LV@@1500",0.0,48.0,50.0,-2.0,1500.0,LV,2025-07-09,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,49.325,-0.6500000000000057,3.0,1.0,B,51,0.019230769230769232,38.72983346207417,0.5819882848043362,1.0498173291278219,red
"7/1 - 7/8, 2025@@23930",Rasmussen Reports,"1,500 LV@@1500",0.0,49.0,49.0,0.0,1500.0,LV,2025-07-08,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,48.325,1.3499999999999943,3.0,1.0,B,52,0.018867924528301886,38.72983346207417,0.5819882848043362,1.049775094854614,green
"7/6 - 7/8, 2025@@23930",Harris Insights  Analytics,"2,044 RV@@2044",0.0,47.0,49.0,-2.0,2044.0,RV,2025-07-08,B@@6,0.16244708,R+1.05@@-1.0490152,193.0,R+,-1.05,47.525,48.475,-0.9500000000000028,2.0,1.0,B,52,0.018867924528301886,45.21061822182926,0.6211434084089329,0.8098303683218352,red
"7/4 - 7/7, 2025@@23929",YouGov,"1,528 A@@1528",0.0,42.0,53.0,-11.0,1528.0,A,2025-07-07,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,41.455,53.545,-12.090000000000003,1.0,1.0,B,53,0.018518518518518517,39.08964057138413,0.584162140650673,0.46949327600442975,red
"6/30 - 7/7, 2025@@23929",Rasmussen Reports,"1,500 LV@@1500",0.0,50.0,48.0,2.0,1500.0,LV,2025-07-07,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,47.325,3.3499999999999943,3.0,1.0,B,53,0.018518518518518517,38.72983346207417,0.5819882848043362,1.0497344248137472,green
"7/3 - 7/6, 2025@@23928",Morning Consult,"2,203 RV@@2203",0.0,45.0,52.0,-7.0,2203.0,RV,2025-07-06,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,43.315,53.685,-10.370000000000005,2.0,1.0,B-,54,0.01818181818181818,46.93612681080534,0.6315684579340625,0.823335607888587,red
"7/31 - 7/6, 2025@@23928",Rasmussen Reports,"1,500 LV@@1500",0.0,47.0,51.0,-4.0,1500.0,LV,2025-07-06,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,47.675,50.325,-2.6500000000000057,3.0,1.0,B,54,0.01818181818181818,38.72983346207417,0.5819882848043362,1.0496952336834573,red
"6/27 - 7/3, 2025@@23925",Rasmussen Reports,"1,500 LV@@1500",0.0,50.0,48.0,2.0,1500.0,LV,2025-07-03,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,47.325,3.3499999999999943,3.0,1.0,B,57,0.017241379310344827,38.72983346207417,0.5819882848043362,1.0495857688023027,green
"6/26 - 7/2, 2025@@23924",Rasmussen Reports,"1,500 LV@@1500",0.0,49.0,48.0,1.0,1500.0,LV,2025-07-02,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,47.325,2.3499999999999943,3.0,1.0,B,58,0.01694915254237288,38.72983346207417,0.5819882848043362,1.0495517542912096,green
"6/25 - 7/1, 2025@@23923",Rasmussen Reports,"1,500 LV@@1500",0.0,50.0,47.0,3.0,1500.0,LV,2025-07-01,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,46.325,4.349999999999994,3.0,1.0,B,59,0.016666666666666666,38.72983346207417,0.5819882848043362,1.049518873597153,green
"6/27 - 6/30, 2025@@23922",YouGov,"1,648 A@@1648",0.0,42.0,53.0,-11.0,1648.0,A,2025-06-30,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,41.455,53.545,-12.090000000000003,1.0,1.0,B,60,0.01639344262295082,40.59556626036888,0.5932605305335926,0.47655354092042684,red
"6/24 - 6/30, 2025@@23922",Rasmussen Reports,"1,500 LV@@1500",0.0,51.0,47.0,4.0,1500.0,LV,2025-06-30,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,51.675,46.325,5.349999999999994,3.0,1.0,B,60,0.01639344262295082,38.72983346207417,0.5819882848043362,1.049487070958639,green
"6/26 - 6/30, 2025@@23922",YouGov,"1,597 A@@1597",0.0,40.0,56.0,-16.0,1597.0,A,2025-06-30,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,39.455,56.545,-17.090000000000003,1.0,1.0,B,60,0.01639344262295082,39.96248240537617,0.5894356115595437,0.47348106502324006,red
"6/26 - 6/30, 2025@@23922",Global Strategy Group/GBAO Navigator Research,"1,000 RV@@1000",0.0,45.0,53.0,-8.0,1000.0,RV,2025-06-30,B/C@@8,0.80498767,D+0.82@@0.82390642,4.0,D+,0.82,44.59,53.41,-8.819999999999993,2.0,1.0,B/C,60,0.01639344262295082,31.622776601683793,0.5390493969768073,0.7025315911419047,red
"6/27 - 6/29, 2025@@23921",Morning Consult,"2,202 RV@@2202",0.0,47.0,50.0,-3.0,2202.0,RV,2025-06-29,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,45.315,51.685,-6.3700000000000045,2.0,1.0,B-,61,0.016129032258064516,46.92547282660026,0.6315040894842688,0.8229924262956277,red
"6/26 - 6/28, 2025@@23920",TIPP Insights,"1,421 A@@1421",0.0,44.0,45.0,-1.0,1421.0,A,2025-06-28,A-@@3,-0.57137179,R+0.07@@-0.070992939,51.0,R+,-0.07,44.035,44.965,-0.9300000000000068,1.0,1.0,A-,62,0.015873015873015872,37.69615364994153,0.5757430749552191,0.462422215757684,red
"6/23 - 6/27, 2025@@23919",Rasmussen Reports,"1,500 LV@@1500",0.0,51.0,48.0,3.0,1500.0,LV,2025-06-27,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,51.675,47.325,4.349999999999994,3.0,1.0,B,63,0.015625,38.72983346207417,0.5819882848043362,1.0493976260378186,green
"6/20 - 6/26, 2025@@23918",Rasmussen Reports,"1,500 LV@@1500",0.0,51.0,48.0,3.0,1500.0,LV,2025-06-26,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,51.675,47.325,4.349999999999994,3.0,1.0,B,64,0.015384615384615385,38.72983346207417,0.5819882848043362,1.0493696458318185,green
"6/18 - 6/26, 2025@@23918",RMG Research,"3,000 RV@@3000",0.0,51.0,47.0,4.0,3000.0,RV,2025-06-26,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,49.375,48.625,0.75,2.0,1.0,B,64,0.015384615384615385,54.772255750516614,0.6789121992539866,0.8846748196432718,green
"6/23 - 6/26, 2025@@23918",Targoz Market Research,"1,200 RV@@1200",0.0,43.0,54.0,-11.0,1200.0,RV,2025-06-26,C+@@9,0.73165476,D+1.31@@1.3137915,26.0,D+,1.31,42.345,54.655,-12.310000000000002,2.0,1.0,C+,64,0.015384615384615385,34.64101615137755,0.5572847723236978,0.7261849263971877,red
"6/25 - 6/26, 2025@@23918",The Tyson Group,"1,027 A@@1027",0.0,45.0,51.0,-6.0,1027.0,A,2025-06-26,B/C@@8,0.57826144,D+0.09@@0.085312791,14.0,D+,0.09,44.955,51.045,-6.090000000000003,1.0,1.0,B/C,64,0.015384615384615385,32.046840717924134,0.5416114760309946,0.43495567767412185,red
"6/19 - 6/25, 2025@@23917",Rasmussen Reports,"1,500 LV@@1500",0.0,51.0,48.0,3.0,1500.0,LV,2025-06-25,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,51.675,47.325,4.349999999999994,3.0,1.0,B,65,0.015151515151515152,38.72983346207417,0.5819882848043362,1.0493425135108485,green
"6/24 - 6/25, 2025@@23917",John Zogby Strategies,"1,006 LV@@1006",0.0,45.4,52.7,-7.299999,1006.0,LV,2025-06-25,B/C@@8,0.53317785,D+0.39@@0.38675937,4.0,D+,0.39,45.205,52.895,-7.690000000000005,3.0,1.0,B/C,65,0.015151515151515152,31.71750305430741,0.5396217082166644,0.9729542920876222,red
"6/23 - 6/25, 2025@@23917",Marist College,"1,381 A@@1381",0.0,43.0,52.0,-9.0,1381.0,A,2025-06-25,A-@@3,-0.43661025,D+0.52@@0.52121603,213.0,D+,0.52,42.74,52.26,-9.519999999999996,1.0,1.0,A-,65,0.015151515151515152,37.16180835212409,0.572514707256063,0.45974665885714155,red
"6/23 - 6/25, 2025@@23917",American Pulse Research  Polling,633 RV@@633,0.0,49.7,48.9,0.7999992,633.0,RV,2025-06-25,B/C@@8,0.8004629,D+0.41@@0.405,2.0,D+,0.41,49.495000000000005,49.105,0.3900000000000077,2.0,1.0,B/C,65,0.015151515151515152,25.15949125081825,0.5,0.6515151515151515,green
"6/24 - 6/25, 2025@@23917",Emerson College,"1,000 RV@@1000",0.0,44.9,46.3,-1.399998,1000.0,RV,2025-06-25,A-@@3,-0.56915331,D+0.65@@0.64701432,317.0,D+,0.65,44.574999999999996,46.625,-2.0500000000000043,2.0,1.0,A-,65,0.015151515151515152,31.622776601683793,0.5390493969768073,0.7023976990909914,red
"6/18 - 6/24, 2025@@23916",Rasmussen Reports,"1,500 LV@@1500",0.0,52.0,47.0,5.0,1500.0,LV,2025-06-24,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,52.675,46.325,6.349999999999994,3.0,1.0,B,66,0.014925373134328358,38.72983346207417,0.5819882848043362,1.0493161911099076,green
"6/22 - 6/24, 2025@@23916",Quinnipiac University,979 RV@@979,0.0,41.0,54.0,-13.0,979.0,RV,2025-06-24,B+@@5,-0.29048395,D+0.62@@0.61745471,228.0,D+,0.62,40.69,54.31,-13.620000000000005,2.0,1.0,B+,66,0.014925373134328358,31.28897569432403,0.5370326634682111,0.6997455450861915,red
"6/21 - 6/23, 2025@@23915",Ipsos,"1,139 A@@1139",0.0,41.0,57.0,-16.0,1139.0,A,2025-06-23,B-@@7,0.44289753,D+1.89@@1.8925899,116.0,D+,1.89,40.055,57.945,-17.89,1.0,1.0,B-,67,0.014705882352941176,33.74907406137241,0.5518959029078875,0.44313994557015673,red
"6/20 - 6/23, 2025@@23915",YouGov,"1,590 A@@1590",0.0,40.0,54.0,-14.0,1590.0,A,2025-06-23,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,39.455,54.545,-15.090000000000003,1.0,1.0,B,67,0.014705882352941176,39.87480407475377,0.588905883139263,0.47285678263829056,red
"6/17 - 6/23, 2025@@23915",Rasmussen Reports,"1,500 LV@@1500",0.0,52.0,47.0,5.0,1500.0,LV,2025-06-23,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,52.675,46.325,6.349999999999994,3.0,1.0,B,67,0.014705882352941176,38.72983346207417,0.5819882848043362,1.0492906428972297,green
"6/20 - 6/22, 2025@@23914",Morning Consult,"2,205 RV@@2205",0.0,45.0,53.0,-8.0,2205.0,RV,2025-06-22,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,43.315,54.685,-11.370000000000005,2.0,1.0,B-,68,0.014492753623188406,46.95742752749558,0.6316971510207473,0.8230373025618143,red
"6/20 - 6/22, 2025@@23914",Ipsos,"1,144 A@@1144",0.0,41.0,54.0,-13.0,1144.0,A,2025-06-22,B-@@7,0.44289753,D+1.89@@1.8925899,116.0,D+,1.89,40.055,54.945,-14.89,1.0,1.0,B-,68,0.014492753623188406,33.823069050575526,0.5523429603331488,0.4434753623544412,red
"6/16 - 6/20, 2025@@23912",Rasmussen Reports,"1,500 LV@@1500",0.0,51.0,47.0,4.0,1500.0,LV,2025-06-20,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,51.675,46.325,5.349999999999994,3.0,1.0,B,70,0.014084507042253521,38.72983346207417,0.5819882848043362,1.0492183162669724,green
"6/17 - 6/20, 2025@@23912",American Research Group,"1,100 A@@1100",0.0,38.0,59.0,-21.0,1100.0,A,2025-06-20,C+@@9,0.8181411,D+0.07@@0.069949053,280.0,D+,0.07,37.965,59.035,-21.069999999999993,1.0,1.0,C+,70,0.014084507042253521,33.166247903554,0.5483746271526603,0.4402444189817132,red
"6/18 - 6/20, 2025@@23912",Trafalgar Group,"1,085 LV@@1085",0.0,54.4,44.5,9.900002,1085.0,LV,2025-06-20,B+@@5,-0.21543878,R+1.83@@-1.8317183,142.0,R+,-1.83,55.315,43.585,11.729999999999997,3.0,1.0,B+,70,0.014084507042253521,32.93933818400121,0.5470037008766717,0.9861475170734364,green
"6/17 - 6/20, 2025@@23912",The Bullfinch Group,"1,223 A@@1223",0.0,41.0,54.0,-13.0,1223.0,A,2025-06-20,,,,,,0.0,41.0,54.0,-13.0,1.0,1.0,,70,0.014084507042253521,34.97141690009142,0.5592809630065422,0.44900020973764654,red
"6/11 - 6/19, 2025@@23911",RMG Research,"3,000 RV@@3000",0.0,53.0,46.0,7.0,3000.0,RV,2025-06-19,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,51.375,47.625,3.75,2.0,1.0,B,71,0.013888888888888888,54.772255750516614,0.6789121992539866,0.8844717262503325,green
"6/2 - 6/19, 2025@@23911",Gallup,"1,000 A@@1000",0.0,40.0,57.0,-17.0,1000.0,A,2025-06-19,B+@@5,-0.096810378,R+0.57@@-0.56518364,84.0,R+,-0.57,40.285,56.715,-16.430000000000007,1.0,1.0,B+,71,0.013888888888888888,31.622776601683793,0.5390493969768073,0.4327368770174926,red
"6/13 - 6/19, 2025@@23911",Rasmussen Reports,"1,500 LV@@1500",0.0,52.0,47.0,5.0,1500.0,LV,2025-06-19,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,52.675,46.325,6.349999999999994,3.0,1.0,B,71,0.013888888888888888,38.72983346207417,0.5819882848043362,1.0491955467722616,green
"6/12 - 6/18, 2025@@23910",Rasmussen Reports,"1,500 LV@@1500",0.0,52.0,47.0,5.0,1500.0,LV,2025-06-18,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,52.675,46.325,6.349999999999994,3.0,1.0,B,72,0.0136986301369863,38.72983346207417,0.5819882848043362,1.0491734010993239,green
"6/17 - 6/18, 2025@@23910",Echelon Insights,"1,002 LV@@1002",0.0,48.0,52.0,-4.0,1002.0,LV,2025-06-18,B+@@5,-0.21667188,R+0.11@@-0.10818018,18.0,R+,-0.11,48.055,51.945,-3.8900000000000006,3.0,1.0,B+,72,0.0136986301369863,31.654383582688826,0.5392403576851008,0.9721100146761544,red
"6/16 - 6/17, 2025@@23909",JL Partners,"1,039 RV@@1039",0.0,46.0,51.0,-5.0,1039.0,RV,2025-06-17,B/C@@8,0.19791092,D+0.39@@0.39106345,10.0,D+,0.39,45.805,51.195,-5.390000000000001,2.0,1.0,B/C,73,0.013513513513513514,32.2335229225724,0.5427393586977934,0.7070280294387471,red
"6/12 - 6/17, 2025@@23909",Echelon Insights,982 LV@@982,0.0,45.0,53.0,-8.0,982.0,LV,2025-06-17,B+@@5,-0.21667188,R+0.11@@-0.10818018,18.0,R+,-0.11,45.055,52.945,-7.890000000000001,3.0,1.0,B+,73,0.013513513513513514,31.336879231984796,0.5373220835010831,0.9686319721492499,red
"6/11 - 6/17, 2025@@23909",Rasmussen Reports,"1,500 LV@@1500",0.0,52.0,47.0,5.0,1500.0,LV,2025-06-17,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,52.675,46.325,6.349999999999994,3.0,1.0,B,73,0.013513513513513514,38.72983346207417,0.5819882848043362,1.049151853958087,green
"6/10 - 6/16, 2025@@23908",Rasmussen Reports,"1,500 LV@@1500",0.0,52.0,47.0,5.0,1500.0,LV,2025-06-16,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,52.675,46.325,6.349999999999994,3.0,1.0,B,74,0.013333333333333334,38.72983346207417,0.5819882848043362,1.0491308814072833,green
"6/15 - 6/16, 2025@@23908",InsiderAdvantage,"1,000 LV@@1000",0.0,54.4,44.1,10.3,1000.0,LV,2025-06-16,B@@6,0.034562007,D+0.36@@0.35748985,207.0,D+,0.36,54.22,44.28,9.939999999999998,3.0,1.0,B,74,0.013333333333333334,31.622776601683793,0.5390493969768073,0.9717263796168579,green
"6/11 - 6/16, 2025@@23908",Ipsos,"4,258 A@@4258",0.0,42.0,54.0,-12.0,4258.0,A,2025-06-16,B-@@7,0.44289753,D+1.89@@1.8925899,116.0,D+,1.89,41.055,54.945,-13.89,1.0,1.0,B-,74,0.013333333333333334,65.25335240430181,0.7422361098919621,0.5957681842066149,red
"6/13 - 6/16, 2025@@23908",Beacon Research/Shaw  Co Research,"1,003 RV@@1003",0.0,46.0,54.0,-8.0,1003.0,RV,2025-06-16,A@@2,-0.635562,D+1.46@@1.4624962,62.0,D+,1.46,45.27,54.73,-9.459999999999994,2.0,1.0,A,74,0.013333333333333334,31.670175244226233,0.5393357665718854,0.7025747252543094,red
"6/13 - 6/16, 2025@@23908",YouGov,"1,512 A@@1512",0.0,41.0,54.0,-13.0,1512.0,A,2025-06-16,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,40.455,54.545,-14.090000000000003,1.0,1.0,B,74,0.013333333333333334,38.88444419044716,0.5829224004098466,0.46789238006230355,red
"6/12 - 6/15, 2025@@23907",McLaughlin  Associates,"2,000 RV@@2000",0.0,46.6,53.4,-6.800003,2000.0,RV,2025-06-15,C/D@@12,1.4121989,R+1.70@@-1.6967322,29.0,R+,-1.7,47.45,52.55,-5.099999999999994,2.0,1.0,C/D,75,0.013157894736842105,44.721359549995796,0.6181874417350783,0.8052704833127994,red
"6/13 - 6/15, 2025@@23907",Morning Consult,"2,207 RV@@2207",0.0,46.0,52.0,-6.0,2207.0,RV,2025-06-15,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,44.315,53.685,-9.370000000000005,2.0,1.0,B-,75,0.013157894736842105,46.97871858618538,0.631825785756443,0.8230362209195771,red
"6/12 - 6/14, 2025@@23906",The Winston Group,"1,000 RV@@1000",0.0,41.0,52.0,-11.0,1000.0,RV,2025-06-14,A/B@@4,-0.13629293,D+1.03@@1.0321692,11.0,D+,1.03,40.485,52.515,-12.030000000000001,2.0,1.0,A/B,76,0.012987012987012988,31.622776601683793,0.5390493969768073,0.7021643443736854,red
