Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
Wick Communications,B/C@@8,0.728167,D+0.04@@0.041948967,1,D+
Capital Survey Research Center,B/C@@8,0.72886896,D+0.02@@0.023058945,13,D+
Public Strategies Inc.,B/C@@8,0.73055172,±0.00@@0,6,±
Targoz Market Research,C+@@9,0.73165476,D+1.31@@1.3137915,26,D+
Victoria Research & Consulting,B/C@@8,0.7337265,D+0.10@@0.10353958,1,D+
Becker Institute,B/C@@8,0.73420399,D+0.27@@0.26876393,5,D+
Iona University,B/C@@8,0.73493963,D+0.09@@0.085966006,1,D+
QEV Analytics,B/C@@8,0.73568344,±0.00@@0,1,±
West Virginia Research Center,B/C@@8,0.73624253,D+0.12@@0.1231782,2,D+
Florida Atlantic University/Mainstreet Research,C+@@9,0.73753613,D+1.36@@1.3607143,25,D+
MarblePort,B/C@@8,0.73825955,R+0.30@@-0.30365112,2,R+
The Florida Poll,B/C@@8,0.74000925,D+0.21@@0.2060675,5,D+
Rice University,B/C@@8,0.74289292,D+0.13@@0.13010745,2,D+
Independent Market Research,B/C@@8,0.74586415,D+0.09@@0.087851137,2,D+
CrossTarget,B/C@@8,0.74650943,R+0.30@@-0.29893041,2,R+
Alloy Analytics,B/C@@8,0.74715894,R+0.21@@-0.21410573,1,R+
Old Dominion University,B/C@@8,0.74742126,D+0.11@@0.10904887,1,D+
TMR Research,B/C@@8,0.74750376,D+0.13@@0.13041049,2,D+
Marketing Research Institute,B/C@@8,0.7500053,R+0.08@@-0.082361326,1,R+
Premise,B/C@@8,0.75054651,D+0.21@@0.21456419,1,D+
A&A Research,B/C@@8,0.75315899,R+0.11@@-0.11174428,1,R+
Paradigm,B/C@@8,0.75477678,D+0.37@@0.36500001,2,D+
Constituent Dynamics,B/C@@8,0.75524014,±0.00@@0,7,±
SmithJohnson Opinion Research,B/C@@8,0.75883955,R+0.15@@-0.14568141,1,R+
Illinois Wesleyan University,B/C@@8,0.75914401,R+0.25@@-0.24921192,3,R+
Multi-Quest International,B/C@@8,0.76426446,±0.00@@-0.0032871936,4,±
Decision Forecasting,B/C@@8,0.76505435,R+0.04@@-0.04010354,3,R+
Minnesota State University,B/C@@8,0.76779801,D+0.35@@0.35302281,4,D+
Tulsa Surveys,B/C@@8,0.76798433,R+0.10@@-0.099355035,1,R+
TeleResearch Corporation,B/C@@8,0.76826715,±0.00@@0,1,±
Feldman Group,B/C@@8,0.76861244,D+0.16@@0.15526281,2,D+
Southern Research Group,B/C@@8,0.77110702,D+0.09@@0.093030334,1,D+
Y2 Analytics,B/C@@8,0.77111769,D+1.08@@1.0821723,8,D+
Harper Polling/Clarity Campaign Labs,B/C@@8,0.77180457,D+0.26@@0.26010606,1,D+
Clout Research,B/C@@8,0.77194482,R+1.56@@-1.558041,16,R+
Great Lakes Strategies Group,B/C@@8,0.77226245,R+0.15@@-0.14846882,1,R+
Montana State University Billings,B/C@@8,0.77275294,D+1.62@@1.6173282,11,D+
"California State University, Bakersfield",B/C@@8,0.77704459,R+0.10@@-0.095057838,1,R+
Howey Politics/DePauw University,B/C@@8,0.77761066,D+0.07@@0.06540741,7,D+
Sky Research,B/C@@8,0.77762616,R+0.28@@-0.28335577,1,R+
Kimball Political Consulting,B/C@@8,0.77867681,R+0.77@@-0.7722314,6,R+
Detroit Free Press,B/C@@8,0.78052264,D+0.10@@0.099946581,1,D+
University of Illinois at Chicago,B/C@@8,0.78088796,R+0.12@@-0.11763971,1,R+
Southern Opinion Research,B/C@@8,0.78261286,D+0.01@@0.014572855,2,D+
Zata3,B/C@@8,0.78611869,R+0.15@@-0.15275228,2,R+
20/20 Insight,B/C@@8,0.78652591,D+0.41@@0.40675348,8,D+
Opinion Consultants,B/C@@8,0.78768879,R+0.19@@-0.19324328,2,R+
University of North Carolina,B/C@@8,0.78915507,D+0.16@@0.15543783,1,D+
GaPundit.com,B/C@@8,0.78936541,D+0.42@@0.42126542,2,D+
New Frontier Strategy,B/C@@8,0.79242229,±0.00@@0,2,±
Baselice & Associates,B/C@@8,0.79275316,D+0.23@@0.22922298,2,D+
Arthur J. Finkelstein & Associates,B/C@@8,0.79313076,R+0.15@@-0.15214586,1,R+
Bannon Communications Research,B/C@@8,0.79446995,D+0.25@@0.24755515,2,D+
MarketAide Services Inc.,B/C@@8,0.79617524,D+0.12@@0.12487758,1,D+
Patinkin Research Strategies,B/C@@8,0.79801172,D+0.76@@0.76060563,4,D+
Forman Center,B/C@@8,0.79878044,D+0.18@@0.1822435,2,D+
Baydoun Consulting,B/C@@8,0.79917663,R+0.75@@-0.74615657,6,R+
Auburn University,B/C@@8,0.79960662,D+0.61@@0.60776985,2,D+
Abacus Associates,B/C@@8,0.8002494,D+0.13@@0.12542021,2,D+
American Pulse Research & Polling,B/C@@8,0.8004629,D+0.41@@0.405,2,D+
SMS Research & Marketing Services,B/C@@8,0.80153066,R+0.13@@-0.12524949,1,R+
Global Strategy Group/GBAO (Navigator Research),B/C@@8,0.80498767,D+0.82@@0.82390642,4,D+
Ed Renwick/Loyola University New Orleans,B/C@@8,0.80563056,D+0.70@@0.69523835,10,D+
Hays Research Group,B/C@@8,0.80588597,D+0.74@@0.73763043,9,D+
Zia Poll,B/C@@8,0.80682516,R+0.65@@-0.6469242,4,R+
SocialSphere,B/C@@8,0.81146562,R+0.31@@-0.31333369,2,R+
Lester & Associates,B/C@@8,0.81155729,±0.00@@0,1,±
Datamar Analytics,B/C@@8,0.81570607,R+0.21@@-0.20773703,8,R+
ccAdvertising,B/C@@8,0.81774038,R+2.24@@-2.2422502,33,R+
EMC Research,B/C@@8,0.81793892,D+1.11@@1.1125692,15,D+
PSI,B/C@@8,0.81803161,R+0.03@@-0.032007303,3,R+
American Research Group,C+@@9,0.8181411,D+0.07@@0.069949053,280,D+
Gazette Communications,B/C@@8,0.81915867,D+0.18@@0.17743926,2,D+
LIT Data,B/C@@8,0.82042438,±0.00@@0,4,±
Jeffrey Stonecash,B/C@@8,0.82047343,R+0.17@@-0.16927816,1,R+
Consumer Logic,B/C@@8,0.82090801,D+0.23@@0.23170042,2,D+
Hoffman Research Group,B/C@@8,0.82193971,R+0.55@@-0.55440682,3,R+
Cometrends,B/C@@8,0.82694423,D+0.30@@0.30084789,1,D+
Glover Park Group,B/C@@8,0.82895362,R+0.26@@-0.25817677,1,R+
Open Model Project,B/C@@8,0.82985121,R+0.43@@-0.43357316,2,R+
Univision/Latino Decisions/North Star Opinion Research,B/C@@8,0.83040893,D+1.06@@1.0564657,7,D+
Neighbor,B/C@@8,0.83405709,R+0.14@@-0.14268719,1,R+
"Normington, Petts & Associates",B/C@@8,0.83772832,D+0.69@@0.69038498,12,D+
Lycoming College Polling Institute,B/C@@8,0.83789915,D+0.37@@0.36764848,3,D+
Rainmaker Media Group,B/C@@8,0.83955139,D+0.21@@0.20723695,1,D+
VCreek/AMG,B/C@@8,0.84125262,D+0.31@@0.31361598,1,D+
The Kitchens Group,B/C@@8,0.84240919,D+0.19@@0.19458386,1,D+
Lauer Johnson Research,B/C@@8,0.84499776,D+0.20@@0.20485325,1,D+
University of Colorado (Boulder),B/C@@8,0.84665591,D+0.39@@0.39307073,2,D+
Saguaro Strategies,B/C@@8,0.84997523,D+0.30@@0.29560792,2,D+
University of Alabama at Birmingham,B/C@@8,0.85102892,R+0.26@@-0.26417753,2,R+
Bold Decision,B/C@@8,0.85155076,D+0.39@@0.39428461,1,D+
Phillips Academy,B/C@@8,0.85204351,R+0.89@@-0.88919556,7,R+
Ohio University,B/C@@8,0.85217768,D+0.26@@0.26358375,2,D+
Hill Research Consultants,B/C@@8,0.85342121,R+0.14@@-0.13787393,6,R+
Hellenthal & Associates,B/C@@8,0.85612243,D+0.29@@0.28952396,5,D+
Hendrix College,B/C@@8,0.86181134,D+1.79@@1.7852504,18,D+
brilliant corners Research & Strategies,B/C@@8,0.86198837,D+0.49@@0.48997509,1,D+
RMS Research,B/C@@8,0.86304575,D+0.25@@0.25296509,3,D+
Data West Polling,B/C@@8,0.86653388,D+0.29@@0.28828374,2,D+
Hunt Research,B/C@@8,0.86695492,D+0.40@@0.39736843,1,D+
Gonzales Research & Marketing Strategies Inc.,B/C@@8,0.86923158,R+0.51@@-0.51087058,10,R+
WCIA-TV,B/C@@8,0.87226671,R+0.30@@-0.30238676,2,R+
HighGround Inc.,B/C@@8,0.87484419,R+0.09@@-0.094535589,6,R+
Nelson Research,B/C@@8,0.87826675,R+0.29@@-0.28975335,1,R+
Arizona State University,B/C@@8,0.87988347,D+0.43@@0.42636108,8,D+
Hickman Analytics,B/C@@8,0.88148373,D+0.34@@0.33787739,1,D+
The Justice Collaborative Institute,B/C@@8,0.88485819,D+0.51@@0.51223028,2,D+
Cole Hargrave Snodgrass & Associates,B/C@@8,0.88493043,D+0.07@@0.071374275,5,D+
Colby College,B/C@@8,0.88707447,D+1.59@@1.5850313,6,D+
Thomas Partners Strategies/Optimus,B/C@@8,0.88882047,R+0.73@@-0.73437852,2,R+
Opinium,B/C@@8,0.89454108,D+0.56@@0.55635494,2,D+
GCR & Associates,B/C@@8,0.90367109,±0.00@@0,1,±
East Tennessee State University,B/C@@8,0.90481871,D+0.66@@0.66395867,2,D+
Brandwatch Qriously,B/C@@8,0.90798444,D+0.72@@0.72498852,3,D+
Consultoría Académica e Investigación Social LLC,B/C@@8,0.90924293,±0.00@@0,2,±
Global Marketing Research Services,B/C@@8,0.9110108,D+0.38@@0.3806484,1,D+
Market Research Insight,B/C@@8,0.91825938,R+0.45@@-0.4527567,27,R+
Victory Enterprises,B/C@@8,0.93591851,R+0.39@@-0.39453775,1,R+
Loras College,B/C@@8,0.93783098,D+1.27@@1.2705244,18,D+
Victory Insights,B/C@@8,0.93972611,D+0.96@@0.96054924,9,D+
Western Kentucky University,B/C@@8,0.95183557,D+0.70@@0.6954006,4,D+
Bainbridge Media Group,B/C@@8,0.95843303,D+0.36@@0.36215168,1,D+
Schapiro Group,B/C@@8,0.9633261,±0.00@@0,2,±
SSRS,C@@10,0.96683478,D+2.78@@2.7767856,47,D+
Miami Univerity,B/C@@8,0.96791083,D+0.69@@0.69,2,D+
Marketing Resource Group (MRG),B/C@@8,0.96905935,D+0.25@@0.25237739,10,D+
SoonerPoll.com,B/C@@8,0.97563964,D+2.66@@2.6558154,26,D+
Millersville University,B/C@@8,0.97737432,R+0.48@@-0.4764142,5,R+
Hampton University,B/C@@8,0.98396969,R+0.63@@-0.62966311,4,R+
Survation,B/C@@8,0.98845667,D+0.61@@0.611,2,D+
Massie & Associates,B/C@@8,0.99144256,R+0.40@@-0.3969447,2,R+
Greg Smith & Associates,B/C@@8,0.99916637,D+0.72@@0.7188884,5,D+
Citizen Data,B/C@@8,1.0161601,D+2.34@@2.343709,12,D+
BWD Global,B/C@@8,1.0188385,R+0.11@@-0.10609266,2,R+
University of Iowa,B/C@@8,1.0231135,R+0.24@@-0.24255843,3,R+
Roanoke College,B/C@@8,1.0372641,D+0.73@@0.7296648,22,D+
Kiaer Research,B/C@@8,1.0408883,D+0.81@@0.81496406,2,D+
DeSales University,B/C@@8,1.044457,D+0.57@@0.56897759,1,D+
SurveyMonkey,C@@10,1.0475748,D+4.63@@4.6289401,268,D+
Swayable,C@@10,1.0607102,D+3.80@@3.796334,89,D+
Digital Research,B/C@@8,1.06165,D+0.10@@0.095731989,21,D+
IZQ Strategies,B/C@@8,1.0677255,±0.00@@0,1,±
Repass,B/C@@8,1.0712278,D+0.06@@0.064994611,4,D+
Bluegrass Community and Technical College,B/C@@8,1.0716326,D+0.84@@0.83913672,2,D+
Marketing Workshop,B/C@@8,1.0733643,D+0.26@@0.26444727,8,D+
Craciun Research Group,B/C@@8,1.0752943,D+0.58@@0.57798624,1,D+
Momentum Analysis,B/C@@8,1.0856293,D+0.28@@0.27907223,3,D+
TargetPoint,B/C@@8,1.1097567,±0.00@@0,2,±
St. Cloud State University,B/C@@8,1.10999,D+1.53@@1.534845,17,D+
Meredith College,B/C@@8,1.1137156,D+1.05@@1.0541043,6,D+
Mitchell Research & Communications,C@@10,1.1347013,D+0.94@@0.93573165,82,D+
Baldwin Wallace University,B/C@@8,1.1356329,D+1.29@@1.2939738,4,D+
Merriman River Group,B/C@@8,1.1465241,R+2.76@@-2.7627413,25,R+
Truedot,B/C@@8,1.1486603,D+0.95@@0.95300001,2,D+
Glascock Group,B/C@@8,1.1572716,D+0.19@@0.19391988,2,D+
Elucd,B/C@@8,1.1600239,±0.00@@0,4,±
Tomahawk Strategies,B/C@@8,1.1987636,D+0.78@@0.78215063,1,D+
Carroll Strategies,B/C@@8,1.2069107,R+1.51@@-1.5051278,5,R+
Dane & Associates,B/C@@8,1.2115607,R+0.72@@-0.71616161,2,R+
GOP Calls,B/C@@8,1.2174627,R+0.81@@-0.81403434,2,R+
Amber Integrated,B/C@@8,1.2346991,D+1.87@@1.8677782,8,D+
CPEC,B/C@@8,1.2487621,±0.00@@0,2,±
Riggs Research Services,B/C@@8,1.2678342,D+0.66@@0.66347617,1,D+
University of Minnesota,B/C@@8,1.27027,D+0.43@@0.4317643,10,D+
Thomas Partners Strategies,B/C@@8,1.2736485,R+1.04@@-1.0428846,2,R+
Target Insyght,B/C@@8,1.289482,R+0.49@@-0.48779747,6,R+
Point Blank Political,B/C@@8,1.2947432,±0.00@@0,6,±
Center Street PAC,C/D@@12,1.3092142,D+1.55@@1.5508841,4,D+
Saint Leo University Polling Institute,C/D@@12,1.3120041,D+1.38@@1.3805101,6,D+
"Island Analytics & Marketing, LLC",C/D@@12,1.3297696,±0.00@@0,1,±
University of Wyoming,C/D@@12,1.3428887,D+2.22@@2.2189867,5,D+
FM3 Research,C/D@@12,1.3633105,D+1.84@@1.8390744,11,D+
Rutgers University,C/D@@12,1.4093766,D+0.97@@0.9699086,19,D+
Capen Analytics,C/D@@12,1.4120053,±0.00@@0,1,±
McLaughlin & Associates,C/D@@12,1.4121989,R+1.70@@-1.6967322,29,R+
The Political Matrix/The Listener Group,C/D@@12,1.4591252,D+1.45@@1.4483585,12,D+
Triton Polling & Research,C/D@@12,1.4633808,D+0.98@@0.97864407,3,D+
RABA Research,C/D@@12,1.4904155,D+2.44@@2.4359162,9,D+
Opinion Research Associates,C/D@@12,1.503765,D+1.61@@1.6102419,14,D+
Brigham Young University,C/D@@12,1.6270492,D+1.60@@1.5969336,4,D+
Brown University,C/D@@12,1.628527,R+0.20@@-0.20327687,14,R+
TCJ Research,F@@16,1.6535958,R+4.07@@-4.0723248,132,R+
Indiana University-Purdue University Fort Wayne (Downs Center),C/D@@12,1.7923604,±0.00@@0,3,±
Long Island University,C/D@@12,1.8080115,D+1.88@@1.8762418,4,D+
Nielson Brothers Polling,C/D@@12,1.946864,D+3.05@@3.0515239,11,D+
Ascend Action,C/D@@12,2.2827168,D+3.35@@3.3485439,6,D+
Jayhawk Consulting Services,C/D@@12,2.3539684,D+2.27@@2.2674108,2,D+
Fort Hays State University,C/D@@12,2.4891701,R+1.10@@-1.0960908,6,R+
The Dartmouth Poll,C/D@@12,3.9882915,D+4.40@@4.4045453,4,D+
